team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
Kolkata Knight Riders,Mumbai Indians,2008-04-29,Kolkata Knight Riders,bat,Mumbai Indians,ST Jayasuriya,Eden Gardens,Kolkata,"BB McCullum, SC Ganguly, RT Ponting, DB Das, DJ Hussey, Mohammad Hafeez, LR Shukla, AB Agarkar, M Kartik, I Sharma, AB Dinda","AM Rahane, ST Jayasuriya, MK Pandey, RV Uthappa, DJ Bravo, SM Pollock, AM Nayar, A Nehra, DS Kulkarni, CRD Fernando, PR Shah",1,16,League,wickets,7.0,138.0,20.0,N
Delhi Daredevils,Royal Challengers Bangalore,2008-04-30,Royal Challengers Bangalore,field,Delhi Daredevils,GD McGrath,Feroz Shah Kotla,Delhi,"G Gambhir, V Sehwag, S Dhawan, Shoaib Malik, KD Karthik, MK Tiwary, R Bhatia, DL Vettori, Mohammad Asif, VY Mahesh, GD McGrath","P Kumar, W Jaffer, LRPL Taylor, JH Kallis, R Dravid, MV Boucher, V Kohli, Z Khan, DW Steyn, R Vinay Kumar, SB Joshi",1,17,League,runs,10.0,192.0,20.0,N
Rajasthan Royals,Kolkata Knight Riders,2008-05-01,Rajasthan Royals,bat,Rajasthan Royals,SA Asnodkar,Sawai Mansingh Stadium,Jaipur,"GC Smith, SA Asnodkar, M Kaif, YK Pathan, SR Watson, RA Jadeja, SK Warne, Sohail Tanvir, M Rawat, SK Trivedi, MM Patel","Salman Butt, SC Ganguly, AB Agarkar, BJ Hodge, DJ Hussey, LR Shukla, DB Das, WP Saha, Umar Gul, I Sharma, AB Dinda",1,18,League,wickets,7.0,165.0,20.0,N
Deccan Chargers,Kings XI Punjab,2008-05-01,Kings XI Punjab,field,Kings XI Punjab,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AC Gilchrist, VVS Laxman, HH Gibbs, RG Sharma, Shahid Afridi, Y Venugopal Rao, SB Bangar, DNT Zoysa, D Kalyankrishna, RP Singh, PP Ojha","SE Marsh, RR Sarwan, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, K Goel, IK Pathan, PP Chawla, S Sreesanth, VRV Singh, Gagandeep Singh",1,19,League,runs,45.0,197.0,20.0,N
Chennai Super Kings,Delhi Daredevils,2008-05-02,Chennai Super Kings,bat,Delhi Daredevils,V Sehwag,"MA Chidambaram Stadium, Chepauk",Chennai,"PA Patel, SP Fleming, S Vidyut, MS Dhoni, JA Morkel, SK Raina, S Badrinath, Joginder Sharma, M Ntini, MS Gony, M Muralitharan","G Gambhir, V Sehwag, AB de Villiers, S Dhawan, Shoaib Malik, KD Karthik, R Bhatia, VY Mahesh, GD McGrath, PJ Sangwan, Mohammad Asif",1,20,League,wickets,8.0,170.0,20.0,N
Royal Challengers Bangalore,Deccan Chargers,2008-05-03,Deccan Chargers,field,Royal Challengers Bangalore,P Kumar,M Chinnaswamy Stadium,Bangalore,"B Chipli, W Jaffer, V Kohli, JH Kallis, Misbah-ul-Haq, R Dravid, MV Boucher, P Kumar, Z Khan, DW Steyn, A Kumble","AC Gilchrist, VVS Laxman, HH Gibbs, RG Sharma, Shahid Afridi, SB Styris, AS Yadav, SB Bangar, RP Singh, DP Vijaykumar, PP Ojha",1,21,League,runs,9.0,179.0,20.0,N
Kings XI Punjab,Kolkata Knight Riders,2008-05-03,Kings XI Punjab,bat,Kings XI Punjab,IK Pathan,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"SE Marsh, JR Hopes, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, K Goel, IK Pathan, PP Chawla, S Sreesanth, VRV Singh, Gagandeep Singh","Mohammad Hafeez, SC Ganguly, DB Das, BJ Hodge, DJ Hussey, LR Shukla, WP Saha, AB Agarkar, Umar Gul, I Sharma, AB Dinda",1,22,League,runs,3.0,157.0,20.0,N
Rajasthan Royals,Chennai Super Kings,2008-05-04,Chennai Super Kings,bat,Rajasthan Royals,Sohail Tanvir,Sawai Mansingh Stadium,Jaipur,"GC Smith, SA Asnodkar, YK Pathan, SR Watson, M Rawat, M Kaif, RA Jadeja, SK Warne, Sohail Tanvir, SK Trivedi, MM Patel","PA Patel, SP Fleming, S Vidyut, SK Raina, S Badrinath, MS Dhoni, JA Morkel, Joginder Sharma, MS Gony, M Muralitharan, M Ntini",1,23,League,runs,29.0,163.0,20.0,N
Mumbai Indians,Delhi Daredevils,2008-05-04,Delhi Daredevils,field,Mumbai Indians,SM Pollock,Dr DY Patil Sports Academy,Mumbai,"YV Takawale, ST Jayasuriya, DJ Thornely, RV Uthappa, DJ Bravo, AM Nayar, SM Pollock, SS Tiwary, RR Raje, A Nehra, DS Kulkarni","G Gambhir, V Sehwag, S Dhawan, AB de Villiers, Shoaib Malik, KD Karthik, R Bhatia, PJ Sangwan, VY Mahesh, Mohammad Asif, GD McGrath",1,24,League,wickets,8.0,110.0,20.0,N
Royal Challengers Bangalore,Kings XI Punjab,2008-05-05,Kings XI Punjab,field,Kings XI Punjab,S Sreesanth,M Chinnaswamy Stadium,Bangalore,"W Jaffer, V Kohli, CL White, JH Kallis, R Dravid, Misbah-ul-Haq, P Kumar, DT Patil, Z Khan, A Kumble, DW Steyn","SE Marsh, JR Hopes, RR Sarwan, Yuvraj Singh, DPMD Jayawardene, IK Pathan, PP Chawla, U Kaul, Gagandeep Singh, S Sreesanth, VRV Singh",1,25,League,wickets,6.0,127.0,20.0,N
Chennai Super Kings,Deccan Chargers,2008-05-06,Deccan Chargers,field,Deccan Chargers,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",Chennai,"PA Patel, SP Fleming, S Anirudha, SK Raina, S Badrinath, MS Dhoni, JA Morkel, Joginder Sharma, MS Gony, M Ntini, M Muralitharan","AC Gilchrist, HH Gibbs, SB Styris, RG Sharma, Shahid Afridi, Y Venugopal Rao, SB Bangar, AS Yadav, RP Singh, DP Vijaykumar, PP Ojha",1,26,League,wickets,7.0,145.0,20.0,N
Mumbai Indians,Rajasthan Royals,2008-05-07,Mumbai Indians,field,Mumbai Indians,A Nehra,Dr DY Patil Sports Academy,Mumbai,"YV Takawale, ST Jayasuriya, RV Uthappa, DJ Bravo, AM Nayar, DJ Thornely, SM Pollock, SS Tiwary, RR Raje, A Nehra, DS Kulkarni","GC Smith, SA Asnodkar, YK Pathan, SR Watson, M Kaif, RA Jadeja, SK Warne, Sohail Tanvir, M Rawat, SK Trivedi, MM Patel",1,27,League,wickets,7.0,104.0,20.0,N
Delhi Daredevils,Chennai Super Kings,2008-05-08,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,Feroz Shah Kotla,Delhi,"G Gambhir, V Sehwag, AB de Villiers, S Dhawan, Shoaib Malik, KD Karthik, MK Tiwary, VY Mahesh, GD McGrath, Mohammad Asif, PJ Sangwan","S Vidyut, SP Fleming, MS Dhoni, SK Raina, JA Morkel, CK Kapugedera, S Badrinath, MS Gony, P Amarnath, M Muralitharan, L Balaji",1,28,League,wickets,4.0,188.0,20.0,N
Kolkata Knight Riders,Royal Challengers Bangalore,2008-05-08,Kolkata Knight Riders,bat,Kolkata Knight Riders,SC Ganguly,Eden Gardens,Kolkata,"A Chopra, BJ Hodge, SC Ganguly, DJ Hussey, T Taibu, LR Shukla, WP Saha, M Kartik, Umar Gul, I Sharma, AB Dinda","J Arunkumar, S Chanderpaul, MV Boucher, R Dravid, CL White, P Kumar, R Vinay Kumar, V Kohli, Z Khan, A Kumble, DW Steyn",1,29,League,runs,5.0,130.0,16.0,N
Rajasthan Royals,Deccan Chargers,2008-05-09,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,Sawai Mansingh Stadium,Jaipur,"GC Smith, YK Pathan, M Kaif, SR Watson, NK Patel, RA Jadeja, SK Warne, M Rawat, Sohail Tanvir, SK Trivedi, MM Patel","AC Gilchrist, HH Gibbs, SB Styris, RG Sharma, Shahid Afridi, SB Bangar, DB Ravi Teja, Y Venugopal Rao, RP Singh, PP Ojha, DP Vijaykumar",1,30,League,wickets,8.0,141.0,20.0,N
Chennai Super Kings,Kings XI Punjab,2008-05-10,Kings XI Punjab,field,Chennai Super Kings,L Balaji,"MA Chidambaram Stadium, Chepauk",Chennai,"S Vidyut, SP Fleming, SK Raina, S Badrinath, MS Dhoni, JA Morkel, CK Kapugedera, P Amarnath, MS Gony, M Muralitharan, L Balaji","SE Marsh, JR Hopes, K Goel, RR Sarwan, Yuvraj Singh, DPMD Jayawardene, IK Pathan, PP Chawla, S Sreesanth, VRV Singh, U Kaul",1,31,League,runs,18.0,182.0,20.0,N
Rajasthan Royals,Delhi Daredevils,2008-05-11,Rajasthan Royals,field,Rajasthan Royals,SR Watson,Sawai Mansingh Stadium,Jaipur,"YK Pathan, GC Smith, M Kaif, SR Watson, RA Jadeja, AD Mascarenhas, SK Warne, NK Patel, M Rawat, SK Trivedi, MM Patel","G Gambhir, V Sehwag, S Dhawan, AB de Villiers, KD Karthik, TM Dilshan, A Mishra, MF Maharoof, VY Mahesh, GD McGrath, PJ Sangwan",1,32,League,runs,23.0,205.0,20.0,N
Deccan Chargers,Kolkata Knight Riders,2008-05-11,Kolkata Knight Riders,bat,Kolkata Knight Riders,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AC Gilchrist, HH Gibbs, DB Ravi Teja, RG Sharma, SB Styris, Y Venugopal Rao, SB Bangar, WPUJC Vaas, RP Singh, DP Vijaykumar, PP Ojha","Salman Butt, A Chopra, SC Ganguly, DJ Hussey, T Taibu, LR Shukla, WP Saha, Umar Gul, I Sharma, AB Dinda, M Kartik",1,33,League,wickets,3.0,157.0,20.0,N
Kings XI Punjab,Royal Challengers Bangalore,2008-05-12,Royal Challengers Bangalore,bat,Kings XI Punjab,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"SE Marsh, JR Hopes, LA Pomersbach, Yuvraj Singh, DPMD Jayawardene, IK Pathan, TM Srivastava, PP Chawla, U Kaul, S Sreesanth, VRV Singh","J Arunkumar, V Kohli, Misbah-ul-Haq, CL White, R Dravid, MV Boucher, P Kumar, R Vinay Kumar, Z Khan, A Kumble, DW Steyn",1,34,League,wickets,9.0,144.0,20.0,N
Kolkata Knight Riders,Delhi Daredevils,2008-05-13,Kolkata Knight Riders,bat,Kolkata Knight Riders,Shoaib Akhtar,Eden Gardens,Kolkata,"Salman Butt, A Chopra, SC Ganguly, DJ Hussey, T Taibu, LR Shukla, WP Saha, Iqbal Abdulla, I Sharma, AB Dinda, Shoaib Akhtar","G Gambhir, V Sehwag, AB de Villiers, MK Tiwary, S Dhawan, TM Dilshan, A Mishra, MF Maharoof, VY Mahesh, PJ Sangwan, GD McGrath",1,35,League,runs,23.0,134.0,20.0,N
Mumbai Indians,Chennai Super Kings,2008-05-14,Mumbai Indians,field,Mumbai Indians,ST Jayasuriya,Wankhede Stadium,Mumbai,"ST Jayasuriya, SR Tendulkar, RV Uthappa, DJ Thornely, DJ Bravo, AM Nayar, SM Pollock, YV Takawale, RR Raje, A Nehra, DS Kulkarni","S Vidyut, SP Fleming, SK Raina, S Badrinath, CK Kapugedera, MS Dhoni, JA Morkel, Joginder Sharma, MS Gony, L Balaji, M Muralitharan",1,36,League,wickets,9.0,157.0,20.0,N
Delhi Daredevils,Deccan Chargers,2008-05-15,Deccan Chargers,field,Delhi Daredevils,A Mishra,Feroz Shah Kotla,Delhi,"G Gambhir, V Sehwag, S Dhawan, MF Maharoof, TM Dilshan, MK Tiwary, KD Karthik, A Mishra, R Bhatia, GD McGrath, Mohammad Asif","AC Gilchrist, Shahid Afridi, HH Gibbs, RG Sharma, SB Styris, Y Venugopal Rao, DB Ravi Teja, RP Singh, PP Ojha, DP Vijaykumar, PM Sarvesh Kumar",1,37,League,runs,12.0,195.0,20.0,N
Mumbai Indians,Kolkata Knight Riders,2008-05-16,Mumbai Indians,field,Mumbai Indians,SM Pollock,Wankhede Stadium,Mumbai,"ST Jayasuriya, SR Tendulkar, RV Uthappa, DJ Thornely, DJ Bravo, AM Nayar, SM Pollock, RV Pawar, YV Takawale, RR Raje, A Nehra","Salman Butt, A Chopra, SC Ganguly, DJ Hussey, Mohammad Hafeez, WP Saha, LR Shukla, AB Agarkar, Shoaib Akhtar, I Sharma, AB Dinda",1,38,League,wickets,8.0,68.0,20.0,N
Delhi Daredevils,Kings XI Punjab,2008-05-17,Delhi Daredevils,bat,Kings XI Punjab,DPMD Jayawardene,Feroz Shah Kotla,Delhi,"G Gambhir, V Sehwag, S Dhawan, TM Dilshan, MF Maharoof, Shoaib Malik, PJ Sangwan, KD Karthik, A Mishra, R Bhatia, GD McGrath","SE Marsh, JR Hopes, Yuvraj Singh, LA Pomersbach, DPMD Jayawardene, IK Pathan, RR Powar, PP Chawla, U Kaul, S Sreesanth, VRV Singh",1,39,League,runs,6.0,89.0,8.0,N
Rajasthan Royals,Royal Challengers Bangalore,2008-05-17,Royal Challengers Bangalore,field,Rajasthan Royals,GC Smith,Sawai Mansingh Stadium,Jaipur,"GC Smith, SA Asnodkar, SR Watson, YK Pathan, M Kaif, RA Jadeja, SK Warne, Sohail Tanvir, M Rawat, SK Trivedi, MM Patel","J Arunkumar, V Kohli, Misbah-ul-Haq, JH Kallis, CL White, R Dravid, DT Patil, P Kumar, Z Khan, A Kumble, Abdur Razzak",1,40,League,runs,65.0,198.0,20.0,N
Deccan Chargers,Mumbai Indians,2008-05-18,Deccan Chargers,field,Mumbai Indians,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AC Gilchrist, Shahid Afridi, RG Sharma, LPC Silva, Y Venugopal Rao, DB Ravi Teja, DNT Zoysa, H Das, RP Singh, PP Ojha, DP Vijaykumar","ST Jayasuriya, SR Tendulkar, DJ Thornely, AM Nayar, RV Uthappa, DJ Bravo, PR Shah, YV Takawale, RR Raje, A Nehra, CRD Fernando",1,41,League,runs,25.0,179.0,20.0,N
Kolkata Knight Riders,Chennai Super Kings,2008-05-18,Kolkata Knight Riders,bat,Chennai Super Kings,M Ntini,Eden Gardens,Kolkata,"Salman Butt, Mohammad Hafeez, SC Ganguly, DB Das, DJ Hussey, LR Shukla, WP Saha, AB Agarkar, I Sharma, AB Dinda, Shoaib Akhtar","PA Patel, SP Fleming, S Vidyut, SK Raina, S Badrinath, MS Dhoni, JA Morkel, MS Gony, L Balaji, M Muralitharan, M Ntini",1,42,League,runs,3.0,53.0,8.0,N
Royal Challengers Bangalore,Delhi Daredevils,2008-05-19,Delhi Daredevils,field,Delhi Daredevils,SP Goswami,M Chinnaswamy Stadium,Bangalore,"JH Kallis, B Chipli, SP Goswami, R Dravid, Misbah-ul-Haq, CL White, B Akhil, P Kumar, Z Khan, A Kumble, DW Steyn","G Gambhir, V Sehwag, AB de Villiers, TM Dilshan, S Dhawan, KD Karthik, MF Maharoof, R Bhatia, VY Mahesh, PJ Sangwan, GD McGrath",1,43,League,wickets,5.0,155.0,20.0,N
Kolkata Knight Riders,Rajasthan Royals,2008-05-20,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,Eden Gardens,Kolkata,"Salman Butt, Mohammad Hafeez, SC Ganguly, DJ Hussey, DB Das, LR Shukla, WP Saha, AB Agarkar, Umar Gul, I Sharma, AB Dinda","GC Smith, SA Asnodkar, Sohail Tanvir, M Kaif, SR Watson, YK Pathan, RA Jadeja, SK Warne, M Rawat, SK Trivedi, MM Patel",1,44,League,wickets,6.0,148.0,20.0,N
Chennai Super Kings,Royal Challengers Bangalore,2008-05-21,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,A Kumble,"MA Chidambaram Stadium, Chepauk",Chennai,"PA Patel, SP Fleming, MS Dhoni, SK Raina, S Badrinath, JA Morkel, S Vidyut, MS Gony, L Balaji, M Ntini, M Muralitharan","JH Kallis, SP Goswami, V Kohli, R Dravid, Misbah-ul-Haq, MV Boucher, B Akhil, P Kumar, R Vinay Kumar, A Kumble, DW Steyn",1,45,League,runs,1.0,190.0,20.0,N
Mumbai Indians,Kings XI Punjab,2008-05-21,Mumbai Indians,field,Kings XI Punjab,SE Marsh,Wankhede Stadium,Mumbai,"ST Jayasuriya, SR Tendulkar, DR Smith, AM Nayar, RV Uthappa, SM Pollock, PR Shah, SD Chitnis, CRD Fernando, A Nehra, VS Yeligati","SE Marsh, JR Hopes, LA Pomersbach, Yuvraj Singh, DPMD Jayawardene, IK Pathan, TM Srivastava, PP Chawla, U Kaul, S Sreesanth, VRV Singh",1,46,League,runs,14.0,127.0,20.0,N
Kings XI Punjab,Deccan Chargers,2008-05-23,Kings XI Punjab,field,Kings XI Punjab,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"SE Marsh, KC Sangakkara, Yuvraj Singh, LA Pomersbach, DPMD Jayawardene, PP Chawla, TM Srivastava, RR Powar, Gagandeep Singh, VRV Singh, S Sreesanth","AC Gilchrist, HH Gibbs, RG Sharma, Y Venugopal Rao, LPC Silva, SB Styris, DB Ravi Teja, SB Bangar, RP Singh, PP Ojha, DP Vijaykumar",1,47,League,wickets,6.0,176.0,20.0,N
Chennai Super Kings,Rajasthan Royals,2008-05-24,Rajasthan Royals,bat,Rajasthan Royals,JA Morkel,"MA Chidambaram Stadium, Chepauk",Chennai,"PA Patel, SP Fleming, SK Raina, JA Morkel, MS Dhoni, S Badrinath, MS Gony, A Mukund, L Balaji, M Muralitharan, M Ntini","GC Smith, SA Asnodkar, Kamran Akmal, YK Pathan, M Kaif, T Kohli, D Salunkhe, SK Warne, Sohail Tanvir, Pankaj Singh, MM Patel",1,48,League,wickets,5.0,177.0,20.0,N
Delhi Daredevils,Mumbai Indians,2008-05-24,Delhi Daredevils,field,Delhi Daredevils,KD Karthik,Feroz Shah Kotla,Delhi,"G Gambhir, V Sehwag, S Dhawan, MK Tiwary, TM Dilshan, KD Karthik, MF Maharoof, B Geeves, VY Mahesh, A Mishra, GD McGrath","ST Jayasuriya, SR Tendulkar, DR Smith, RV Uthappa, AM Nayar, SM Pollock, SD Chitnis, PR Shah, A Nel, DS Kulkarni, A Nehra",1,49,League,runs,10.0,212.0,20.0,N
Kolkata Knight Riders,Kings XI Punjab,2008-05-25,Kings XI Punjab,bat,Kolkata Knight Riders,Umar Gul,Eden Gardens,Kolkata,"Salman Butt, SC Ganguly, DB Das, DJ Hussey, LR Shukla, WP Saha, A Chopra, Umar Gul, I Sharma, BAW Mendis, AB Dinda","SE Marsh, JR Hopes, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, IK Pathan, PP Chawla, TM Srivastava, RR Powar, VRV Singh, S Sreesanth",1,50,League,wickets,5.0,166.0,20.0,N
Deccan Chargers,Royal Challengers Bangalore,2008-05-25,Deccan Chargers,bat,Royal Challengers Bangalore,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AC Gilchrist, HH Gibbs, RG Sharma, LPC Silva, Y Venugopal Rao, DB Ravi Teja, AS Yadav, SB Bangar, WPUJC Vaas, RP Singh, DP Vijaykumar","JH Kallis, W Jaffer, Misbah-ul-Haq, R Dravid, CL White, V Kohli, B Akhil, SP Goswami, R Vinay Kumar, A Kumble, DW Steyn",1,51,League,wickets,3.0,175.0,20.0,N
